Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;[AdditionalInfo]
Database;Analytics;Azure Analysis Services;Compute Tiers;Standard Tier;Analysis Services;Tabular;Standard S%;Microsoft.AnalysisServices;
Database;Analytics;Azure Analysis Services;Compute Tiers;Basic Tier;Analysis Services;Tabular;Basic B%;Microsoft.AnalysisServices;
Database;Analytics;Azure Analysis Services;Compute Tiers;Developer License;Analysis Services;Tabular;Developer (Hours);Microsoft.AnalysisServices;
Database;Analytics;Azure Analysis Services;Compute Tiers;Basic Tier;Azure Analysis Services;Basic;B%;Microsoft.AnalysisServices;
Database;Analytics;Azure Analysis Services;Compute Tiers;Developer License;Azure Analysis Services;Developer;Developer;Microsoft.AnalysisServices;
Database;Analytics;Azure Analysis Services;Compute Tiers;Standard Tier;Azure Analysis Services;Standard;S%;Microsoft.AnalysisServices;
Cloud Services;Application Services;Azure Data Factory;Data Movement;Self-Hosted;Azure Data Factory;v2;Data Movement Self Hosted IR;Microsoft.DataFactory;
Cloud Services;Application Services;Azure Data Factory;Orchestration;Self-Hosted;Azure Data Factory;v2;Orchestration Self Hosted IR;Microsoft.DataFactory;
Cloud Services;Application Services;Azure Data Factory;Platform Operations;General Processing;Azure Data Factory;v2;%;Microsoft.DataFactory;
Cloud Services;Application Services;Azure Data Factory;Data Movement;Cloud;Azure Data Factory;v2;Data Movement Cloud IR;Microsoft.DataFactory;
Cloud Services;Application Services;Azure Data Factory;Orchestration;Cloud;Azure Data Factory;v2;Orchestration Cloud IR;Microsoft.DataFactory;
Cloud Services;Application Services;Azure Data Factory;SSIS Runtime;SSIS Execution;Azure Data Factory;v2;SSIS STD D4 v2;Microsoft.DataFactory;
Database;Databases;Azure Database for MySQL;Managed Instance;Compute & Storage;Azure Database for MySQL;;;Microsoft.DBforMySQL;
Database;Databases;Azure Database for PostgreSQL;Managed Instance;Compute & Storage;Azure Database for PostgreSQL;;;Microsoft.DBforPostgreSQL;
Cloud Services;Application Services;Azure Data Factory;Data Movement;Cloud;Business Analytics;Data Factory;Data Movement Cloud;Microsoft.DataFactory;
Cloud Services;Application Services;Azure Data Factory;Data Movement;Self-Hosted;Business Analytics;Data Factory;Data Movement On Premises;Microsoft.DataFactory;
Database;Caching;Azure Cache for Redis;Cache Nodes;Standard Tier;Cache;Azure Redis Cache;;Microsoft.Cache;
Database;Caching;Azure Cache for Redis;Cache Nodes;Standard Tier;Redis Cache;;C%;Microsoft.Cache;
Database;Caching;Azure Cache for Redis;Cache Nodes;Premium Tier;Redis Cache;;___C%;Microsoft.Cache;
Storage;Storage&Content Delivery;Azure CDN;Data Transfer;Standard Tier;CDN;CDN;Standard CDN Data Transfer%;Microsoft.Cdn;
Storage;Storage&Content Delivery;Azure CDN;Data Transfer;General;Content Delivery Network;Azure CDN%;%Data Transfer;Microsoft.Cdn;
Cloud Services;Compute Services;Azure Virtual Machines;Reserved Instances;License Cost;Cloud Services;Reservation;%License;Microsoft.Batch;
Cloud Services;Compute Services;Azure Virtual Machines;VM Series;A-Series Compute;Cloud Services;A%;Compute Hours;Compute;
Cloud Services;Compute Services;Azure Virtual Machines;VM Series;D-Series Compute;Cloud Services;D%;Compute Hours;Compute;
Cloud Services;Compute Services;Azure Virtual Machines;VM Series;F-Series Compute;Cloud Services;F%;Compute Hours;Compute;
Cloud Services;Compute Services;Azure Virtual Machines;VM Series;G-Series Compute;Cloud Services;G%;Compute Hours;Compute;
Cloud Services;Compute Services;Azure Virtual Machines;VM Series;H-Series Compute;Cloud Services;H%;Compute Hours;Compute;
Cloud Services;Compute Services;Azure Virtual Machines;VM Series;N-Series Compute;Cloud Services;N%;Compute Hours;Compute;
Storage;Data Transfer;Azure Data Box;Physical Appliance;Device Usage;Data Box;;;Microsoft.DataBox;
Cloud Services;Security and Identity;Azure Key Vault;Secret Management;Vault Operations;Key Vault;;;Microsoft.KeyVault;
Cloud Services;Application Services;Azure Scheduler;Job Orchestration;Free Tier;Scheduler;Scheduler;Free Scheduler Units;;
Cloud Services;Application Services;Azure Scheduler;Job Orchestration;Standard Tier;Scheduler;Scheduler;Standard Scheduler Units;;
Cloud Services;Application Services;Azure Scheduler;Job Orchestration;Free Tier;Scheduler;;Free Unit;Microsoft.Scheduler;
Cloud Services;Application Services;Azure Scheduler;Job Orchestration;Standard Tier;Scheduler;;Standard Unit;Microsoft.Scheduler;
Cloud Services;Security and Identity;Azure Sentinel;SIEM;Free Trial;Sentinel;;Free Trial;microsoft.operationalinsights;
Cloud Services;Security and Identity;Azure Sentinel;SIEM;Log Analysis;Sentinel;;Analysis;microsoft.operationalinsights;
